"Data Export Generated on Thu Nov 02 02:10:37 PDT 2017"
"Survey ID 5742959"
"Response ID","IP Address","Timestamp (MM/dd/yyyy)","Duplicate","Time Taken to Complete (Seconds)","Seq. Number","External Reference","Custom Variable 1","Custom Variable 2","Custom Variable 3","Custom Variable 4","Custom Variable 5","Custom Variable 6","Custom Variable 7","Custom Variable 8","Custom Variable 9","Custom Variable 10","Respondent Email","Email List","Country Code","Region","1 - Q19","2 - Q15","3 - Q20","3 - Q20","4 - staff_type","5 - diaverum expected","6 - diaverum tools","7 - diaverum motivated","8 - diaverum support","9 - diaverum strategy","10 - diaverum contribute","11 - diaverum valued","12 - diaverum achieve","13 - diaverum improve quality","14 - Diaverum like to work","15 - diaverum feedback","16 - diaverum recommend","17 - free_text","18 - Q19",""
"28807851","109.0.186.1","10/24/2017 01:08:07","0","85","1","","","","","France","Saint Denis","","","","","2","","","FR","","","","6","115","1","3","3","3","3","3","3","3","3","3","3","3","3","","",""
"28807905","213.63.135.82","10/24/2017 01:10:49","0","147","1","","","","","Portugal","Unidade de Vila do Conde","","","","","5","","","PT","14","","","14","207","1","1","4","4","3","4","4","4","4","4","4","3","4","boas instalações","",""
"28807933","217.116.5.89","10/24/2017 01:12:15","0","198","1","","","","","Spain","Burjasot","","","","","4","","","ES","","","","18","38","1","5","3","5","3","4","5","3","4","4","5","4","4","LA RELACION CON LOS COMPAÑEROS","",""
"28807957","109.0.186.1","10/24/2017 01:13:12","0","268","1","","","","","France","Epinay","","","","","2","","","FR","","","","6","105","1","4","2","5","4","5","4","3","4","5","4","3","4","les points a améliorer communication avec le personnel , valoriser les membres de l'équipe ","",""
"28808003","212.247.96.201","10/24/2017 01:15:31","0","3717","1","","","","","Russia","Ufa","","","","","7","","","SE","27","","","16","363","1","4","","","","","","","","","","","","","",""
"28808006","217.116.5.89","10/24/2017 01:15:41","0","406","1","","","","","Spain","Burjasot","","","","","4","","","ES","","","","18","38","1","4","2","4","3","4","4","2","4","4","5","3","4","lo bueno que me gusta mi trabajo ","",""
"28808033","217.116.5.89","10/24/2017 01:17:06","0","188","1","","","","","Spain","Burjasot","","","","","4","","","ES","","","","18","38","1","5","4","4","3","4","5","3","4","4","4","3","4","","",""
"28808072","217.116.5.89","10/24/2017 01:19:01","0","112","1","","","","","Spain","Burjasot","","","","","4","","","ES","","","","18","38","2","3","4","3","4","4","4","3","3","3","4","3","4","","",""
"28808099","217.116.5.89","10/24/2017 01:20:54","0","908","1","","","","","Spain","Maresme","","","","","4","","","ES","","","","18","51","1","5","4","4","4","4","4","3","3","3","4","4","3","Diaverum apuesta por una atención de calidad alta al paciente, pero según mi opinión cada vez más pasa por 'sobrecargar al personal', asignándoles más tareas. Creo que siendo así queda en entredicho que la atención que se le presta al paciente es  óptima o de la calidad que Diaverum pretende ofrecer al paciente.
Creo que se puede mejorar optando por otras estrategias, que no conlleven al ' desgaste' del personal.","",""
"28808103","93.113.0.19","10/24/2017 01:21:10","0","167","1","","","","","Romania","Craiova","","","","","180","","","RO","10","","","15","276","1","5","5","4","3","4","5","4","5","4","4","5","4","","",""
"28808128","212.247.96.201","10/24/2017 01:22:17","0","256","1","","","","","UK","Burnley","","","","","0","","","SE","27","","","20","72","1","5","4","5","5","5","5","5","5","5","5","4","5","Working with Diaverum is a breath of fresh air to me. The Senior Management are very supportive and helpful. My line manager is very encouraging and always at the other end of the phone.

In terms of improvement, I would like to see more quality improvement initiatives being developed and then sharing across all the clinics","",""
"28808166","93.113.0.19","10/24/2017 01:24:33","0","169","1","","","","","Romania","Romania OH","","","","","180","","","RO","10","","","15","289","2","4","4","4","4","4","4","4","4","4","4","4","4","","",""
"28808177","80.190.130.194","10/24/2017 01:25:00","0","115","1","","","","","Germany","Grimmen","","","","","1","","","DE","02","","","7","300","1","5","4","5","3","5","5","4","4","5","4","5","4","","",""
"28808194","217.116.5.89","10/24/2017 01:25:57","0","111","1","","","","","Spain","Nephros","","","","","4","","","ES","","","","18","56","1","4","4","4","4","4","4","4","4","4","4","4","4","","",""
"28808227","217.116.5.89","10/24/2017 01:27:56","0","153","1","","","","","Spain","Cedicas - Vinaroz","","","","","4","","","ES","","","","18","41","1","4","4","5","5","4","5","4","3","5","5","5","4","","",""
"28808254","213.63.135.82","10/24/2017 01:29:01","0","100","1","","","","","Portugal","Unidade do Saldanha","","","","","5","","","PT","14","","","14","199","1","4","2","2","3","4","4","4","2","2","4","4","4","","",""
"28808312","172.17.34.101","10/24/2017 01:32:00","0","172","1","","","","","Italy","Copertino","","","","","6","","","","","","","9","246","1","5","5","3","5","5","5","3","5","4","5","4","5","rapporto con i colleghi","",""
"28808347","80.190.130.194","10/24/2017 01:33:18","0","559","1","","","","","Germany","Neubrandenburg","","","","","1","","","DE","02","","","7","303","1","3","2","4","4","4","4","3","4","4","5","3","4","Toll ist unser Kollektiv und die angenehmen Arbeitszeiten
verbesserungswürdig sind die Entfernung zur Arbeitsstätte, die Bestellung der Arbeitsmaterialien für den Arbeitsalltag besser terminieren, da es eigentlich jeden Monat an Elementarem fehlt, der Schichtplan (doppelte Dienste) Personalschlüssel?","",""
"28808391","172.17.34.103","10/24/2017 01:35:48","0","187","1","","","","","Italy","Copertino","","","","","6","","","","","","","9","246","1","5","3","5","4","4","5","4","4","4","4","4","4","","",""
"28808508","212.247.96.201","10/24/2017 01:41:25","0","544","1","","","","","Poland","Przeworsk","","","","","120","","","SE","27","","","13","19","1","4","4","2","3","4","4","3","4","2","4","5","4","","",""
"28808510","212.247.96.201","10/24/2017 01:41:28","0","543","1","","","","","UK","Kings Norton","","","","","0","","","SE","27","","","20","80","2","5","4","3","2","4","4","1","3","1","3","5","2","We are very well supported by Managers and PDNs at clinic level, but I feel that head office and area managers need to know more of what is going on 'on the ground' to fully understand and support staff.  Staff moral is very low and a lot of people, including managers, are leaving, staff that remain are generally 'fed up' and lack motivation. More and more work is been put onto staff by head office and there is no reward or recognition for this.  Most staff including my self have not had a pay rise for years and this impacts highly on staff moral. New staff are often on a higher salary, and more annual leave even though they have a lot less experience than existing staff.  This is also very demoralising.","",""
"28808546","217.116.5.89","10/24/2017 01:42:52","0","135","1","","","","","Spain","Palau","","","","","4","","","ES","","","","18","59","1","5","4","4","3","5","5","3","4","5","5","4","4","tengo buen horario y me gusta mi trabajo","",""
"28808581","217.116.5.89","10/24/2017 01:44:19","0","1268","1","","","","","Spain","Badalona","","","","","4","","","ES","","","","18","36","1","5","4","4","4","4","5","3","4","4","4","4","4","Calidad asistencial, respeto y preocupación por el bienestar del paciente. 
La sobrecarga de tareas 'administrativas' ocupan demasiado tiempo restándolo de lo que realmente es importante.","",""
"28808605","217.116.5.89","10/24/2017 01:45:58","0","103","1","","","","","Spain","Palau","","","","","4","","","ES","","","","18","59","1","5","3","5","3","5","5","3","4","5","5","3","4","tengo buen horario y me gusta mi trabajo","",""
"28808660","213.63.135.82","10/24/2017 01:49:34","0","33","1","","","","","","","","","","","","","","PT","14","","","","","","","","","","","","","","","","","","","",""
"28808684","212.247.96.201","10/24/2017 01:50:44","0","125","1","","","","","Lithuania","Vilnius","","","","","259","","","SE","27","","","11","352","1","5","5","4","4","4","5","4","5","5","5","5","4","","",""
"28808687","213.63.135.82","10/24/2017 01:50:49","0","104","1","","","","","Portugal","Gaia","","","","","0","","","PT","14","","","","","","","","","","","","","","","","","","","",""
"28808696","217.116.5.89","10/24/2017 01:51:16","0","217","1","","","","","Spain","Maresme","","","","","4","","","ES","","","","18","51","2","4","4","4","4","3","4","4","4","3","4","5","4","","",""
"28808700","109.0.186.1","10/24/2017 01:51:23","0","1378","1","","","","","France","Paris Saint Maur","","","","","2","","","FR","","","","6","114","1","2","2","3","1","1","1","2","2","4","2","2","2","","",""
"28808725","213.63.135.82","10/24/2017 01:52:39","0","90","1","","","","","Portugal","Unidade do Saldanha","","","","","5","","","PT","14","","","14","199","2","","","","","","","","","","","","","","",""
"28808744","217.116.5.89","10/24/2017 01:54:03","0","81","1","","","","","Spain","Nefroplana","","","","","4","","","ES","","","","18","55","1","5","3","3","3","1","5","2","5","5","5","1","4","","",""
"28808747","92.90.20.36","10/24/2017 01:54:13","0","3","1","","","","","","","","","","","","","","FR","","","","","","","","","","","","","","","","","","","","",""
"28808750","93.113.0.19","10/24/2017 01:54:16","0","870","1","","","","","Romania","Oradea","","","","","180","","","RO","10","","","15","284","2","4","5","4","4","4","5","5","4","5","4","4","5","Toate aspectele sunt foarte bune.","",""
"28808776","213.63.135.82","10/24/2017 01:56:15","0","10","1","","","","","","","","","","","","","","PT","14","","","","","","","","","","","","","","","","","","","",""
"28808779","212.247.96.201","10/24/2017 01:56:27","0","973","1","","","","","UK","Lewisham","","","","","0","","","SE","27","","","20","81","1","4","2","1","4","3","4","3","4","2","2","4","2","I wish company to pay more attention to staff needs. We short of staff and do so many duties on top of our own,- we want to be appreciated, be payed overtime (in time) and right amount. We have to check payslips all the time, because many times not all overtime hours are payed. Facilities  bring a lot of pressure for the staff, because many things are not working/broken, and we expected to deal with all issues ourselves, talk to upset patients , until waiting for repairs, which sometimes takes very long.
","",""
"28808822","77.154.202.98","10/24/2017 01:59:08","0","138","1","","","","","France","Paris Montlouis","","","","","2","","","FR","","","","6","113","1","3","4","4","2","4","3","2","3","4","3","3","4","","",""
"28808854","109.0.186.1","10/24/2017 02:01:00","0","430","1","","","","","France","Angers","","","","","2","","","FR","","","","6","100","1","5","4","5","3","4","5","3","3","5","4","4","4","Le temps donné pour les activités hors dialyse est très restreint voire inexistant ce qui ne nous permet pas de faire correctement ces acivités (ETP, pansements, DP). ","",""
"28808882","217.116.5.89","10/24/2017 02:02:44","0","311","1","","","","","Spain","Cedicas - Vinaroz","","","","","4","","","ES","","","","18","41","1","5","5","4","4","4","4","4","4","4","5","4","4","
","",""
"28808885","109.0.186.1","10/24/2017 02:02:48","0","183","1","","","","","France","Arles","","","","","2","","","FR","","","","6","101","1","4","2","5","2","3","3","1","2","4","2","3","3","nous avons les moyens financiers pour bien faire mais nous ne le fesons pas car notre opinion compte peu","",""
"28808919","194.181.81.36","10/24/2017 02:04:36","0","150","1","","","","","Poland","Jaroslaw","","","","","120","","","PL","78","","","13","7","1","5","4","4","4","4","4","4","4","4","4","4","3","brak podwyzek","",""
